time_s,ax,ay,az,gx,gy,gz,mx,my,mz
24.962,0.0687,0.6179,0.6118,29.4418,-37.4527,188.2477,-360.2401,144.3162,437.1365
24.982,0.0698,0.6149,0.6123,29.2664,-37.5519,188.2019,-360.2401,144.3162,437.1365
25.001,0.0706,0.6155,0.6147,29.7470,-37.0865,188.3163,-360.2401,144.3162,437.1365
25.021,0.0706,0.6194,0.6115,30.2048,-36.6135,188.2629,-360.2401,144.3162,437.1365
25.041,0.0667,0.6163,0.6070,29.9759,-37.0712,188.4766,-360.2401,144.3162,437.1365
25.060,0.0699,0.6177,0.6140,29.0604,-37.8494,188.6215,-360.2401,126.2767,430.2252
25.080,0.0740,0.6163,0.6148,28.8620,-38.1012,188.7360,-360.2401,126.2767,430.2252
25.099,0.0715,0.6152,0.6136,29.7089,-37.1857,188.3240,-360.2401,126.2767,430.2252
25.119,0.0720,0.6168,0.6199,30.5862,-36.5295,188.2935,-360.2401,126.2767,430.2252
25.138,0.0681,0.6168,0.6078,30.7007,-36.3007,188.1866,-360.2401,126.2767,430.2252
25.158,0.0670,0.6194,0.6091,29.5715,-37.3306,188.3011,-360.2401,126.2767,430.2252
25.177,0.0726,0.6141,0.6121,28.8010,-38.1699,188.6520,-356.6556,129.8846,440.5921
25.197,0.0726,0.6169,0.6122,28.9459,-37.8418,188.4460,-356.6556,129.8846,440.5921
25.216,0.0723,0.6159,0.6168,29.8767,-37.0026,188.3316,-356.6556,129.8846,440.5921
25.236,0.0679,0.6165,0.6102,30.2963,-36.5982,188.3163,-356.6556,129.8846,440.5921
25.255,0.0673,0.6187,0.6077,30.0446,-36.8347,188.3545,-356.6556,129.8846,440.5921
25.275,0.0687,0.6180,0.6104,29.4876,-37.2772,188.3850,-356.6556,129.8846,440.5921
25.294,0.0702,0.6179,0.6129,29.2206,-37.6892,188.5452,-356.6556,129.8846,440.5921
25.314,0.0703,0.6163,0.6150,29.1061,-37.5061,188.3926,-351.2788,131.6886,428.4974
25.333,0.0697,0.6140,0.6142,29.4495,-37.3764,188.5147,-351.2788,131.6886,428.4974
25.353,0.0725,0.6155,0.6143,29.9530,-36.8805,188.3469,-351.2788,131.6886,428.4974
25.373,0.0721,0.6182,0.6115,30.0674,-36.8118,188.3316,-351.2788,131.6886,428.4974
25.392,0.0707,0.6174,0.6097,29.7928,-37.0178,188.2858,-351.2788,131.6886,428.4974
25.412,0.0703,0.6149,0.6119,29.3655,-37.6205,188.5300,-351.2788,131.6886,428.4974
25.431,0.0668,0.6133,0.6157,29.1290,-37.5748,188.3316,-372.7857,138.9044,421.5862
25.451,0.0701,0.6154,0.6149,29.6173,-37.5137,188.4995,-372.7857,138.9044,421.5862
25.470,0.0718,0.6155,0.6158,29.8080,-37.1780,188.3545,-372.7857,138.9044,421.5862
25.490,0.0729,0.6171,0.6148,30.3497,-36.8958,188.5681,-372.7857,138.9044,421.5862
25.509,0.0695,0.6193,0.6121,30.1514,-36.6058,188.2095,-372.7857,138.9044,421.5862
25.529,0.0724,0.6224,0.6058,29.8309,-37.1857,188.4842,-372.7857,138.9044,421.5862
25.548,0.0728,0.6182,0.6104,28.9001,-37.7579,188.1790,-372.7857,138.9044,421.5862
25.568,0.0726,0.6164,0.6187,28.9001,-37.9028,188.4613,-370.9935,140.7083,430.2252
25.587,0.0702,0.6145,0.6165,29.5792,-37.0865,188.1714,-370.9935,140.7083,430.2252
25.607,0.0707,0.6146,0.6135,30.2505,-36.5143,188.2248,-370.9935,140.7083,430.2252
25.626,0.0720,0.6178,0.6075,30.4108,-36.6287,188.2782,-370.9935,140.7083,430.2252
25.646,0.0676,0.6163,0.6096,29.7241,-37.2009,188.3545,-370.9935,140.7083,430.2252
25.666,0.0689,0.6201,0.6135,29.0451,-37.8647,188.4155,-370.9935,140.7083,430.2252
25.685,0.0709,0.6151,0.6139,29.2664,-37.6816,188.3621,-358.4478,138.9044,431.9530
25.705,0.0717,0.6154,0.6155,29.9683,-37.0407,188.3850,-358.4478,138.9044,431.9530
25.724,0.0674,0.6179,0.6100,30.2429,-36.5677,188.2782,-358.4478,138.9044,431.9530
25.744,0.0710,0.6189,0.6115,29.9988,-36.9797,188.3011,-358.4478,138.9044,431.9530
25.763,0.0694,0.6183,0.6132,29.3808,-37.4603,188.3850,-358.4478,138.9044,431.9530
25.783,0.0717,0.6168,0.6114,29.3427,-37.5671,188.4460,-358.4478,138.9044,431.9530
25.802,0.0743,0.6177,0.6151,29.4189,-37.4527,188.3163,-349.4866,133.4925,430.2252
25.822,0.0730,0.6166,0.6160,29.8615,-37.0712,188.2553,-349.4866,133.4925,430.2252
25.841,0.0696,0.6160,0.6137,30.0140,-36.8500,188.1943,-349.4866,133.4925,430.2252
25.861,0.0676,0.6175,0.6105,29.7775,-37.0178,188.4384,-349.4866,133.4925,430.2252
25.880,0.0720,0.6185,0.6115,29.4571,-37.3001,188.3621,-349.4866,133.4925,430.2252
25.900,0.0692,0.6171,0.6137,29.3121,-37.3993,188.3240,-349.4866,133.4925,430.2252
25.919,0.0723,0.6188,0.6154,29.5258,-37.2849,188.3392,-349.4866,133.4925,430.2252
25.939,0.0721,0.6151,0.6132,29.6936,-37.1017,188.2172,-347.6944,124.4728,428.4974
25.958,0.0724,0.6155,0.6141,29.8691,-37.0941,188.4308,-347.6944,124.4728,428.4974
25.978,0.0696,0.6165,0.6119,29.8004,-37.1017,188.3469,-347.6944,124.4728,428.4974
25.998,0.0738,0.6204,0.6113,29.7165,-37.2849,188.5376,-347.6944,124.4728,428.4974
26.017,0.0680,0.6171,0.6111,29.4571,-37.1933,188.2095,-347.6944,124.4728,428.4974
26.037,0.0700,0.6176,0.6148,29.4495,-37.5824,188.5147,-347.6944,124.4728,428.4974
26.056,0.0707,0.6155,0.6166,29.5792,-37.3154,188.3316,-360.2401,147.9241,433.6808
26.076,0.0699,0.6151,0.6166,29.8386,-37.2086,188.4308,-360.2401,147.9241,433.6808
26.095,0.0699,0.6189,0.6143,30.0140,-36.9492,188.4003,-360.2401,147.9241,433.6808
26.115,0.0712,0.6184,0.6104,29.8004,-36.9949,188.3774,-360.2401,147.9241,433.6808
26.134,0.0731,0.6194,0.6124,29.3350,-37.4908,188.4460,-360.2401,147.9241,433.6808
26.154,0.0695,0.6169,0.6116,29.1595,-37.5977,188.3698,-360.2401,147.9241,433.6808
26.173,0.0715,0.6155,0.6138,29.3655,-37.4451,188.4079,-360.2401,147.9241,433.6808
26.193,0.0713,0.6199,0.6186,29.9683,-37.0941,188.5681,-369.2012,131.6886,428.4974
26.212,0.0732,0.6164,0.6119,30.0827,-36.7966,188.2172,-369.2012,131.6886,428.4974
26.232,0.0693,0.6187,0.6100,29.8004,-37.0255,188.3850,-369.2012,131.6886,428.4974
26.251,0.0695,0.6160,0.6067,29.3961,-37.5519,188.3011,-369.2012,131.6886,428.4974
26.271,0.0732,0.6181,0.6144,29.1138,-37.7045,188.3163,-369.2012,131.6886,428.4974
26.291,0.0692,0.6133,0.6171,29.3884,-37.4603,188.3850,-369.2012,131.6886,428.4974
26.310,0.0704,0.6136,0.6161,30.0369,-36.9568,188.2248,-360.2401,140.7083,426.7696
26.330,0.0717,0.6153,0.6130,30.2811,-36.7203,188.3621,-360.2401,140.7083,426.7696
26.349,0.0723,0.6206,0.6084,30.1971,-36.5601,188.1256,-360.2401,140.7083,426.7696
26.369,0.0676,0.6161,0.6077,29.8538,-36.8881,188.1409,-360.2401,140.7083,426.7696
26.388,0.0660,0.6150,0.6088,29.1443,-37.6816,188.4995,-360.2401,140.7083,426.7696
26.408,0.0686,0.6193,0.6102,28.6713,-38.3987,188.9420,-360.2401,140.7083,426.7696
26.427,0.0718,0.6122,0.6189,28.8239,-38.0249,188.5681,-360.2401,140.7083,426.7696
26.447,0.0735,0.6135,0.6180,30.0980,-37.0636,188.4995,-365.6168,149.7281,438.8643
26.466,0.0730,0.6182,0.6097,31.0364,-35.7742,188.0188,-365.6168,149.7281,438.8643
26.486,0.0684,0.6213,0.6102,30.3726,-36.2473,187.9196,-365.6168,149.7281,438.8643
26.505,0.0626,0.6192,0.6105,29.1214,-37.4756,188.1256,-365.6168,149.7281,438.8643
26.525,0.0724,0.6174,0.6147,28.4576,-38.6124,188.7131,-365.6168,149.7281,438.8643
26.544,0.0761,0.6157,0.6193,29.3274,-37.6282,188.5071,-365.6168,149.7281,438.8643
26.564,0.0720,0.6163,0.6158,30.5710,-36.2930,188.2401,-363.8245,122.6688,433.6808
26.583,0.0703,0.6183,0.6115,30.5634,-36.2625,188.1866,-363.8245,122.6688,433.6808
26.603,0.0692,0.6184,0.6085,29.3961,-37.2849,188.4384,-363.8245,122.6688,433.6808
26.623,0.0725,0.6146,0.6118,28.4576,-38.1470,188.2324,-363.8245,122.6688,433.6808
26.642,0.0732,0.6152,0.6203,28.9001,-37.8418,188.3926,-363.8245,122.6688,433.6808
26.662,0.0723,0.6171,0.6188,29.8920,-36.8729,188.2477,-363.8245,122.6688,433.6808
26.681,0.0701,0.6177,0.6134,30.8914,-36.2320,188.2248,-360.2401,126.2767,430.2252
26.701,0.0707,0.6190,0.6076,30.4642,-36.5219,188.4003,-360.2401,126.2767,430.2252
26.720,0.0718,0.6183,0.6063,29.2358,-37.5519,188.4155,-360.2401,126.2767,430.2252
26.740,0.0722,0.6157,0.6140,28.6713,-38.1241,188.5300,-360.2401,126.2767,430.2252
26.759,0.0723,0.6149,0.6185,29.0451,-37.6434,188.2553,-360.2401,126.2767,430.2252
26.779,0.0722,0.6151,0.6178,29.8996,-36.9339,188.3774,-360.2401,126.2767,430.2252
26.798,0.0714,0.6174,0.6124,30.4337,-36.4990,188.2858,-360.2401,126.2767,430.2252
26.818,0.0697,0.6190,0.6125,30.3650,-36.5982,188.4689,-358.4478,142.5123,435.4087
26.837,0.0695,0.6194,0.6088,29.9225,-36.9263,188.3392,-358.4478,142.5123,435.4087
26.857,0.0706,0.6165,0.6122,29.1367,-37.6434,188.4689,-358.4478,142.5123,435.4087
26.876,0.0732,0.6158,0.6130,28.5416,-37.9791,188.3163,-358.4478,142.5123,435.4087
26.896,0.0752,0.6171,0.6162,29.0985,-37.5137,188.2477,-358.4478,142.5123,435.4087
26.916,0.0737,0.6149,0.6169,30.1208,-36.5601,188.1943,-358.4478,142.5123,435.4087
26.935,0.0686,0.6193,0.6125,30.5939,-36.2167,188.1561,-360.2401,137.1004,423.3140
26.955,0.0670,0.6194,0.6115,30.0751,-37.0255,188.2401,-360.2401,137.1004,423.3140
26.974,0.0716,0.6177,0.6112,29.1595,-37.6740,188.2935,-360.2401,137.1004,423.3140
26.994,0.0712,0.6161,0.6125,29.1824,-37.8265,188.4842,-360.2401,137.1004,423.3140
27.013,0.0734,0.6157,0.6132,29.6021,-37.2925,188.3850,-360.2401,137.1004,423.3140
27.033,0.0695,0.6149,0.6115,30.2658,-36.8042,188.4232,-360.2401,137.1004,423.3140
27.052,0.0731,0.6193,0.6112,30.1514,-36.9110,188.2935,-360.2401,137.1004,423.3140
27.072,0.0715,0.6155,0.6135,29.6097,-37.4908,188.3469,-360.2401,144.3162,430.2252
27.091,0.0723,0.6207,0.6129,29.3884,-37.3535,188.3240,-360.2401,144.3162,430.2252
27.111,0.0701,0.6159,0.6120,29.6936,-37.1246,188.3774,-360.2401,144.3162,430.2252
27.130,0.0714,0.6174,0.6125,29.7318,-37.1475,188.4689,-360.2401,144.3162,430.2252
27.150,0.0742,0.6198,0.6139,29.4876,-37.3154,188.4842,-360.2401,144.3162,430.2252
27.169,0.0728,0.6166,0.6115,29.4647,-37.3001,188.5071,-360.2401,144.3162,430.2252
27.189,0.0702,0.6152,0.6115,29.6097,-37.2391,188.4766,-354.8633,124.4728,435.4087
27.208,0.0714,0.6174,0.6115,29.6249,-37.1704,188.3163,-354.8633,124.4728,435.4087
27.228,0.0713,0.6171,0.6151,29.6173,-37.2162,188.1943,-354.8633,124.4728,435.4087
27.248,0.0735,0.6146,0.6132,29.6249,-37.1857,188.2858,-354.8633,124.4728,435.4087
27.267,0.0738,0.6157,0.6132,29.7928,-37.0331,188.3545,-354.8633,124.4728,435.4087
27.287,0.0692,0.6147,0.6149,29.8080,-37.2391,188.3850,-354.8633,124.4728,435.4087
27.306,0.0739,0.6188,0.6115,29.7241,-37.3154,188.5452,-354.8633,124.4728,435.4087
27.326,0.0721,0.6177,0.6118,29.8004,-37.2391,188.4232,-358.4478,131.6886,438.8643
27.345,0.0737,0.6197,0.6093,29.6707,-37.1017,188.3392,-358.4478,131.6886,438.8643
27.365,0.0712,0.6172,0.6129,29.5792,-37.1780,188.3850,-358.4478,131.6886,438.8643
27.384,0.0721,0.6155,0.6122,29.2587,-37.5443,188.4384,-358.4478,131.6886,438.8643
27.404,0.0717,0.6167,0.6131,29.2816,-37.4680,188.5529,-358.4478,131.6886,438.8643
27.423,0.0710,0.6159,0.6157,29.6326,-37.1399,188.3163,-358.4478,131.6886,438.8643
27.443,0.0701,0.6161,0.6132,30.0293,-36.7889,188.4155,-358.4478,131.6886,431.9530
27.462,0.0689,0.6161,0.6123,30.0369,-36.8500,188.3698,-358.4478,131.6886,431.9530
27.482,0.0718,0.6206,0.6111,29.5029,-37.3077,188.4003,-358.4478,131.6886,431.9530
27.501,0.0717,0.6143,0.6137,29.1977,-37.6587,188.4308,-358.4478,131.6886,431.9530
27.521,0.0738,0.6187,0.6136,29.3503,-37.5595,188.4537,-358.4478,131.6886,431.9530
27.541,0.0735,0.6168,0.6152,29.5868,-37.2162,188.2324,-358.4478,131.6886,431.9530
27.560,0.0708,0.6166,0.6152,30.3116,-37.0483,188.5605,-360.2401,129.8846,433.6808
27.580,0.0721,0.6191,0.6105,30.3955,-37.0865,188.6139,-360.2401,129.8846,433.6808
27.599,0.0656,0.6149,0.6103,29.7928,-37.1628,188.4460,-360.2401,129.8846,433.6808
27.619,0.0677,0.6205,0.6118,29.8309,-37.6740,189.2624,-360.2401,129.8846,433.6808
27.638,0.0753,0.6220,0.6071,29.4418,-38.0096,189.3692,-360.2401,129.8846,433.6808
27.658,0.0790,0.6241,0.6152,28.5339,-38.3682,188.3545,-360.2401,129.8846,433.6808
27.677,0.0785,0.6121,0.6135,28.9917,-38.2919,188.7283,-360.2401,129.8846,433.6808
27.697,0.0889,0.6274,0.6217,29.8233,-37.5824,188.4613,-369.2012,131.6886,428.4974
27.716,0.0587,0.5965,0.6127,30.0446,-35.1028,186.4090,-369.2012,131.6886,428.4974
27.736,0.0738,0.6251,0.6109,31.2424,-36.7813,188.8123,-369.2012,131.6886,428.4974
27.755,0.0625,0.6113,0.6052,29.5029,-37.0789,187.6602,-369.2012,131.6886,428.4974
27.775,0.0724,0.6183,0.6122,29.4113,-38.4521,188.9801,-369.2012,131.6886,428.4974
27.794,0.0706,0.6142,0.6138,29.1595,-37.4680,188.0035,-369.2012,131.6886,428.4974
27.814,0.0717,0.6140,0.6147,30.2887,-37.2314,188.8428,-354.8633,138.9044,428.4974
27.833,0.0756,0.6186,0.6122,29.8615,-36.6287,187.9883,-354.8633,138.9044,428.4974
27.853,0.0746,0.6182,0.6103,29.6860,-37.0712,188.5147,-354.8633,138.9044,428.4974
27.873,0.0750,0.6213,0.6102,29.2282,-36.8958,188.0875,-354.8633,138.9044,428.4974
27.892,0.0724,0.6157,0.6093,29.0909,-36.6669,187.8738,-354.8633,138.9044,428.4974
27.912,0.0735,0.6165,0.6117,29.0070,-36.7508,188.1027,-354.8633,138.9044,428.4974
27.931,0.0768,0.6135,0.6136,28.5568,-36.6669,187.7518,-354.8633,138.9044,428.4974
27.951,0.0779,0.6110,0.6134,28.9764,-35.8810,187.6678,-353.0711,133.4925,430.2252
27.970,0.0745,0.6205,0.6125,30.0217,-34.3552,187.4084,-353.0711,133.4925,430.2252
27.990,0.0684,0.6213,0.6034,29.8691,-32.9666,186.7676,-353.0711,133.4925,430.2252
28.009,0.0674,0.6221,0.5982,27.9465,-34.3857,186.9202,-353.0711,133.4925,430.2252
28.029,0.0713,0.6190,0.6018,24.7269,-36.4304,186.5616,-353.0711,133.4925,430.2252
28.048,0.0727,0.6189,0.6187,23.2391,-37.6358,185.7758,-353.0711,133.4925,430.2252
28.068,0.0674,0.6055,0.6384,23.9716,-36.9644,185.3180,-356.6556,137.1004,416.4027
28.087,0.0630,0.5961,0.6436,26.8707,-35.2020,185.6461,-356.6556,137.1004,416.4027
28.107,0.0623,0.5981,0.6377,30.2811,-33.8058,186.4090,-356.6556,137.1004,416.4027
28.126,0.0634,0.6062,0.6251,32.4173,-33.1879,186.7676,-356.6556,137.1004,416.4027
28.146,0.0594,0.6154,0.6127,32.2037,-34.0729,186.6913,-356.6556,137.1004,416.4027
28.166,0.0558,0.6130,0.6033,30.4565,-36.1633,186.8973,-356.6556,137.1004,416.4027
28.185,0.0529,0.6063,0.6044,29.1748,-38.4293,187.9196,-356.6556,137.1004,416.4027
28.205,0.0709,0.6204,0.6151,28.9841,-38.8260,188.4918,-345.9021,155.1400,426.7696
28.224,0.0678,0.6161,0.6152,28.9917,-37.1857,186.6989,-345.9021,155.1400,426.7696
28.244,0.0411,0.6069,0.6294,31.0974,-36.9110,189.1098,-345.9021,155.1400,426.7696
28.263,-0.0235,0.6895,0.7454,38.7650,-47.2183,196.5561,-345.9021,155.1400,426.7696
28.283,0.3320,0.7889,0.8184,238.2126,-222.8088,9.5444,-345.9021,155.1400,426.7696
28.302,-0.3585,0.2731,0.2805,36.4304,33.3405,190.0482,-345.9021,155.1400,426.7696
28.322,-0.0646,0.8366,0.5061,29.9835,-52.3071,222.6944,-390.7081,142.5123,411.2193
28.341,0.1453,0.8005,0.5950,-6.4697,-71.8994,190.5136,-390.7081,142.5123,411.2193
28.361,0.0421,0.5504,0.6666,-10.3989,-62.0804,172.3633,-390.7081,142.5123,411.2193
28.380,0.0270,0.4808,0.6469,8.0872,-56.4117,191.3452,-390.7081,142.5123,411.2193
28.400,0.1304,0.6002,0.7117,23.6816,-48.0499,196.6095,-390.7081,142.5123,411.2193
28.419,-0.6674,0.5167,-0.9305,-134.3994,1.1063,249.9924,-390.7081,142.5123,411.2193
28.439,0.0646,0.5662,-0.0649,-122.0016,-250.0000,212.4252,-342.3177,93.8055,461.3258
28.458,0.4096,0.6210,0.4735,-165.1535,-250.0000,129.9057,-342.3177,93.8055,461.3258
28.478,0.5730,0.3771,0.6910,-91.3773,-250.0000,98.6404,-342.3177,93.8055,461.3258
28.498,0.3885,0.2432,1.3265,-66.9632,-250.0000,167.2440,-342.3177,93.8055,461.3258
28.517,1.0361,0.7553,1.8813,117.6529,-122.6501,230.6976,-342.3177,93.8055,461.3258
28.537,1.5833,0.3477,1.5418,-16.7007,97.1909,249.9924,-342.3177,93.8055,461.3258
28.556,0.1763,0.0175,0.9537,-250.0000,32.8445,249.9924,-342.3177,93.8055,461.3258
28.576,0.5800,0.1274,1.1317,-211.0596,-0.1984,249.9924,-159.5093,-108.2372,485.5152
28.595,0.5345,0.1110,1.4911,-224.8688,-32.3334,249.9924,-159.5093,-108.2372,485.5152
28.615,0.5057,-0.2165,1.1328,-133.8654,-250.0000,249.9924,-159.5093,-108.2372,485.5152
28.634,1.0140,0.4551,1.4421,-100.5249,-250.0000,249.9924,-159.5093,-108.2372,485.5152
28.654,0.7241,-0.0223,1.0318,-142.3340,-93.1015,249.9924,-159.5093,-108.2372,485.5152
28.673,0.7920,-0.1637,1.1772,-162.7045,-94.3680,249.9924,-159.5093,-108.2372,485.5152
28.693,0.8352,-0.2426,1.1230,-132.3318,-81.7719,249.9924,71.6896,-203.8467,421.5862
28.712,0.8608,-0.1718,1.0865,-156.3721,-93.6966,249.9924,71.6896,-203.8467,421.5862
28.732,0.8268,-0.2545,1.0699,-180.5573,-103.0426,249.9924,71.6896,-203.8467,421.5862
28.751,0.7841,-0.1851,0.9774,-185.9360,-96.4813,249.9924,71.6896,-203.8467,421.5862
28.771,0.7452,-0.2982,0.8337,-237.3123,-65.2618,249.9924,71.6896,-203.8467,421.5862
28.791,0.8474,-0.2973,0.7462,-250.0000,-29.4724,249.9924,71.6896,-203.8467,421.5862
28.810,0.8256,-0.5291,0.8772,-196.8765,-26.3443,249.9924,71.6896,-203.8467,421.5862
28.830,0.6459,-0.4966,0.7814,-126.8234,-31.4102,216.3925,281.3815,-155.1400,267.8109
28.849,0.6763,-0.5074,0.7344,-60.6003,-41.6946,199.0280,281.3815,-155.1400,267.8109
28.869,0.6401,-0.5228,0.7295,-64.1174,1.8463,215.3320,281.3815,-155.1400,267.8109
28.888,0.6711,-0.5894,0.7307,-65.2161,41.5878,240.6769,281.3815,-155.1400,267.8109
28.908,0.8193,-0.6370,0.5455,97.4503,-1.3046,166.9388,281.3815,-155.1400,267.8109
28.927,0.7600,-0.6235,1.1639,79.6661,140.0604,128.7384,281.3815,-155.1400,267.8109
28.947,0.5278,-0.8342,0.6978,-10.7803,174.1562,154.9606,304.6807,-120.8649,245.3493
28.966,0.5123,-0.5314,0.8083,113.6551,111.7020,218.7958,304.6807,-120.8649,245.3493
28.986,0.4523,-0.7695,0.7792,26.8402,33.7753,237.7090,304.6807,-120.8649,245.3493
29.005,0.6439,-0.5593,0.8583,76.2024,-29.7699,230.2246,304.6807,-120.8649,245.3493
29.025,0.5427,-0.6448,0.7306,59.2346,-30.5634,193.2755,304.6807,-120.8649,245.3493
29.044,0.5386,-0.7274,0.7753,49.4156,-92.1936,241.8213,304.6807,-120.8649,245.3493
29.064,0.7518,-0.4929,0.8027,59.9747,-104.3091,249.9924,304.6807,-120.8649,245.3493
29.083,0.6793,-0.4885,0.8179,39.2380,-92.6666,217.1555,326.1875,-88.3937,286.8168
29.103,0.5142,-0.8143,0.8778,19.5923,-57.4570,188.2248,326.1875,-88.3937,286.8168
29.123,0.6622,-0.7081,1.0565,51.4374,-48.5306,206.4896,326.1875,-88.3937,286.8168
29.142,0.6634,-0.6599,1.0616,86.8530,44.3802,194.7632,326.1875,-88.3937,286.8168
29.162,0.4904,-0.6527,0.8787,83.1909,77.7588,201.6907,326.1875,-88.3937,286.8168
29.181,0.5394,-0.6420,0.9766,65.5823,94.7952,218.0634,326.1875,-88.3937,286.8168
29.201,0.4149,-0.5912,0.8254,73.4100,99.7009,217.0868,295.7195,-43.2949,326.5565
29.220,0.2396,-0.4924,0.6110,61.6455,33.5541,197.5174,295.7195,-43.2949,326.5565
29.240,0.3173,-0.5988,0.7713,26.3138,-49.6140,193.3136,295.7195,-43.2949,326.5565
29.259,0.4004,-0.5101,0.8389,22.5601,-77.7283,190.8646,295.7195,-43.2949,326.5565
29.279,0.5891,-0.4391,0.8734,13.3514,-105.3162,190.1398,295.7195,-43.2949,326.5565
29.298,0.5568,-0.5431,1.0377,-19.0582,-55.7556,194.0308,295.7195,-43.2949,326.5565
29.318,0.4161,-0.6585,0.9164,-4.4785,-23.1934,187.5229,306.4729,-43.2949,343.8346
29.337,0.3966,-0.5984,0.8517,0.5112,-40.8173,182.1365,306.4729,-43.2949,343.8346
29.357,0.3862,-0.7192,0.8973,-10.4523,-58.2123,172.3328,306.4729,-43.2949,343.8346
29.376,0.4720,-0.6663,0.9628,14.8773,-54.8477,192.7109,306.4729,-43.2949,343.8346
29.396,0.5001,-0.5853,0.9288,33.5770,-41.6565,204.0634,306.4729,-43.2949,343.8346
29.416,0.4482,-0.6023,0.8345,17.2195,-24.3683,203.0716,306.4729,-43.2949,343.8346
29.435,0.4062,-0.6456,0.8611,15.7852,-42.9535,197.7539,306.4729,-43.2949,343.8346
29.455,0.4682,-0.6642,0.9205,23.8113,-47.1573,191.6885,306.4729,-36.0791,305.8228
29.474,0.4588,-0.6363,0.8390,25.4440,-38.3453,186.7523,306.4729,-36.0791,305.8228
29.494,0.4673,-0.6122,0.8735,14.8849,-34.0958,191.6504,306.4729,-36.0791,305.8228
29.513,0.4901,-0.6337,0.9423,18.1046,-18.8293,190.2847,306.4729,-36.0791,305.8228
29.533,0.4106,-0.6512,0.8124,20.8435,-8.7357,192.0090,306.4729,-36.0791,305.8228
29.552,0.4496,-0.6460,0.8784,23.5748,-21.3242,189.1403,306.4729,-36.0791,305.8228
29.572,0.4170,-0.6359,0.8494,23.6282,-14.2212,191.2384,320.8108,-32.4712,305.8228
29.591,0.4171,-0.6238,0.8494,24.8337,-24.9329,188.4460,320.8108,-32.4712,305.8228
29.611,0.4222,-0.6470,0.8691,29.2206,-30.8075,187.1567,320.8108,-32.4712,305.8228
29.630,0.4039,-0.6499,0.8591,29.0527,-36.9949,185.7147,320.8108,-32.4712,305.8228
29.650,0.3951,-0.6945,0.8943,25.9323,-33.7982,188.7436,320.8108,-32.4712,305.8228
29.669,0.4112,-0.6409,0.8240,30.4184,-35.7819,189.4379,320.8108,-32.4712,305.8228
29.689,0.4295,-0.6619,0.8711,24.4980,-32.0206,186.9507,320.8108,-32.4712,305.8228
29.708,0.3913,-0.6634,0.8413,30.0217,-30.8990,183.4106,317.2263,-28.8633,292.0002
29.728,0.4167,-0.6555,0.8513,33.0200,-38.9786,190.9561,317.2263,-28.8633,292.0002
29.748,0.4426,-0.6375,0.8737,29.1214,-34.2712,192.1082,317.2263,-28.8633,292.0002
29.767,0.3935,-0.6718,0.8646,28.6026,-27.4200,191.4825,317.2263,-28.8633,292.0002
29.787,0.4313,-0.6451,0.8524,33.7830,-38.8260,189.4455,317.2263,-28.8633,292.0002
29.806,0.4406,-0.6626,0.8861,26.4511,-18.3640,190.4297,317.2263,-28.8633,292.0002
29.826,0.3840,-0.6356,0.8069,35.3394,-19.6228,189.2090,333.3565,-9.0198,307.5506
29.845,0.3712,-0.6740,0.8372,35.6598,-37.2620,186.1343,333.3565,-9.0198,307.5506
29.865,0.4123,-0.6250,0.8376,37.9105,-46.2341,187.8128,333.3565,-9.0198,307.5506
29.884,0.4120,-0.6354,0.8575,30.7541,-44.1513,187.9196,333.3565,-9.0198,307.5506
29.904,0.4180,-0.6469,0.8845,26.7181,-39.5432,188.9267,333.3565,-9.0198,307.5506
29.923,0.4051,-0.6467,0.8623,28.8849,-36.0489,189.7964,333.3565,-9.0198,307.5506
29.943,0.4213,-0.6474,0.8560,29.0985,-36.6592,187.3322,333.3565,-9.0198,307.5506
29.962,0.4059,-0.6616,0.8610,26.7334,-28.5721,189.3539,322.6030,-23.4514,300.6393
29.982,0.3912,-0.6404,0.8420,33.0429,-37.2162,187.4695,322.6030,-23.4514,300.6393
30.001,0.3970,-0.6584,0.8636,31.3797,-41.0614,185.1730,322.6030,-23.4514,300.6393
30.021,0.4094,-0.6531,0.8626,33.5846,-39.5432,187.9272,322.6030,-23.4514,300.6393
30.041,0.4333,-0.6292,0.8696,28.9078,-34.0195,186.3022,322.6030,-23.4514,300.6393
30.060,0.3840,-0.6362,0.8431,27.7405,-29.4495,187.3703,322.6030,-23.4514,300.6393
30.080,0.4156,-0.6729,0.9019,22.7966,-41.7633,185.5621,317.2263,-18.0395,312.7340
30.099,0.3962,-0.6623,0.8448,29.4724,-42.6865,187.8128,317.2263,-18.0395,312.7340
30.119,0.4304,-0.6474,0.8727,27.5040,-39.0167,188.3087,317.2263,-18.0395,312.7340
30.138,0.3912,-0.6201,0.8450,20.1416,-27.9465,192.2836,317.2263,-18.0395,312.7340
30.158,0.4132,-0.6556,0.8633,23.5519,-34.0424,187.9654,317.2263,-18.0395,312.7340
30.177,0.3837,-0.6521,0.8347,30.1514,-36.8881,186.0733,317.2263,-18.0395,312.7340
30.197,0.4174,-0.6506,0.8430,30.8533,-39.3982,183.1741,317.2263,-18.0395,312.7340
30.216,0.3956,-0.7245,0.7716,17.2119,-34.3094,183.3420,319.0186,-9.0198,297.1837
30.236,0.5346,-0.8140,0.5306,22.8653,-44.6548,181.5643,319.0186,-9.0198,297.1837
